"";"Ergebnis des Vorvorvorjahres #/2013";"Ergebnis des Vorvorjahres #/2014";"Ansatz des Vorjahres #/2015";"Planung des Haushaltsjahres #/2016";"Planung des Haushaltsjahres #/2017";"Planung des Haushaltsjahres #/2018";"Planung des Haushaltsjahres #/2019";"Planung des Haushaltsjahres #/2020"
"1 + Steuern und ähnliche Abgaben";"";"";"";"";"";"";"";""
"2 + Zuwendungen und allgemeine Umlagen";"";"";"";"";"";"";"";""
"3 + Sonstige Transfererträge";"";"";"";"";"";"";"";""
"4 + Öffentlich-rechtliche Leistungsentgelte";"";"";"";"";"";"";"";""
"5 + Privatrechtliche Leistungsentgelte";"";"";"";"";"";"";"";""
"6 + Kostenerstattungen und Kostenumlagen";"";"";"";"";"";"";"";""
"7 + Sonstige ordentliche Erträge";"";"";"";"";"";"";"";""
"8 + Aktivierte Eigenleistungen";"";"";"";"";"";"";"";""
"9 +/- Bestandsveränderungen";"";"";"";"";"";"";"";""
"10 = Ordentliche Erträge";"";"";"";"";"";"";"";""
"11 - Personalaufwendungen";"146.687,08 EUR";"130.125,28 EUR";"";"";"";"";"";""
"12 - Versorgungsaufwendungen";"";"";"";"";"";"";"";""
"13 - Aufwendungen für Sach- und Dienstleistungen";"";"";"";"";"";"";"";""
"14 - Bilanzielle Abschreibungen";"";"";"";"";"";"";"";""
"15 - Transferaufwendungen";"43.208,00 EUR";"43.208,00 EUR";"250.000,00 EUR";"280.000,00 EUR";"280.000,00 EUR";"280.000,00 EUR";"280.000,00 EUR";"280.000,00 EUR"
"16 - Sonstige ordentliche Aufwendungen";"";"";"";"";"";"";"";""
"17 = Ordentliche Aufwendungen";"189.895,08 EUR";"173.333,28 EUR";"250.000,00 EUR";"280.000,00 EUR";"280.000,00 EUR";"280.000,00 EUR";"280.000,00 EUR";"280.000,00 EUR"
"18 = Ordentliches Ergebnis (= 10 + 17)";"189.895,08 EUR";"173.333,28 EUR";"250.000,00 EUR";"280.000,00 EUR";"280.000,00 EUR";"280.000,00 EUR";"280.000,00 EUR";"280.000,00 EUR"
"19 + Finanzerträge";"";"";"";"";"";"";"";""
"20 - Zinsen und sonstige Finanzaufwendungen";"";"";"";"";"";"";"";""
"21 = Finanzergebnis (= 19 + 20)";"";"";"";"";"";"";"";""
"22 = Ergebnis der laufenden Verwaltungstätigkeit (=18 + 21)";"189.895,08 EUR";"173.333,28 EUR";"250.000,00 EUR";"280.000,00 EUR";"280.000,00 EUR";"280.000,00 EUR";"280.000,00 EUR";"280.000,00 EUR"
"23 + Außerordentliche Erträge";"";"";"";"";"";"";"";""
"24 - Außerordentliche Aufwendungen";"";"";"";"";"";"";"";""
"25 = Außerordentliches Ergebnis (= 23 + 24)";"";"";"";"";"";"";"";""
"26 = Ergebnis vor internen Leistungsbeziehungen (= 22 + 25)";"189.895,08 EUR";"173.333,28 EUR";"250.000,00 EUR";"280.000,00 EUR";"280.000,00 EUR";"280.000,00 EUR";"280.000,00 EUR";"280.000,00 EUR"
"27 + Erträge aus internen Leistungsbeziehungen";"";"";"";"";"";"";"";""
"28 - Aufwendungen aus internen Leistungsbeziehungen";"";"";"";"";"";"";"";""
"29 = Teilergebnis  (= 26, 27, 28)";"189.895,08 EUR";"173.333,28 EUR";"250.000,00 EUR";"280.000,00 EUR";"280.000,00 EUR";"280.000,00 EUR";"280.000,00 EUR";"280.000,00 EUR"